No.,title,first_submission_date,venue,source_tag,entry_type,trust_note
98,Actional Atomic-Concept Learning for Demystifying Vision-Language Navigation,2023-02-13,arXiv preprint,arxiv-search,analysis-paper,trusted
99,CLIP-Nav: Using CLIP for Zero-Shot Vision-and-Language Navigation,2022-11-30,arXiv preprint,arxiv-search,zero-shot-vln-paper,trusted
100,ULN: Towards Underspecified Vision-and-Language Navigation,2022-10-18,arXiv preprint,arxiv-search,instruction-granularity-paper,trusted
101,Iterative Vision-and-Language Navigation,2022-10-06,arXiv preprint,arxiv-search,continual-learning-paper,trusted
102,Anticipating the Unseen Discrepancy for Vision and Language Navigation,2022-09-10,arXiv preprint,arxiv-search,generalization-paper,trusted
103,Target-Driven Structured Transformer Planner for Vision-Language Navigation,2022-07-19,arXiv preprint,arxiv-search,planning-paper,trusted
104,ADAPT: Vision-Language Navigation with Modality-Aligned Action Prompts,2022-05-31,arXiv preprint,arxiv-search,direct-vln-paper,trusted
105,Aerial Vision-and-Dialog Navigation,2022-05-24,ACL 2023,awesome-repo,aerial-dialog-paper,trusted
106,Sim-2-Sim Transfer for Vision-and-Language Navigation in Continuous Environments,2022-04-20,arXiv preprint,arxiv-search,continuous-vln-paper,trusted
107,EnvEdit: Environment Editing for Vision-and-Language Navigation,2022-03-29,CVPR 2022,survey-citation,core-paper,trusted
108,FedVLN: Privacy-preserving Federated Vision-and-Language Navigation,2022-03-28,arXiv preprint,arxiv-search,federated-vln-paper,trusted
109,Visual language navigation: a survey and open challenges,2022-03-25*,Artificial Intelligence Review,survey-citation,survey,trusted; published-online date used temporarily because no arXiv preprint is confirmed yet
110,Analyzing Generalization of Vision and Language Navigation to Unseen Outdoor Areas,2022-03-25,arXiv preprint,arxiv-search,outdoor-vln-paper,trusted
111,"Vision-and-Language Navigation: A Survey of Tasks, Methods, and Future Directions",2022-03-22,ACL 2022,survey-citation,survey,trusted
112,HOP: History-and-Order Aware Pre-training for Vision-and-Language Navigation,2022-03-22,arXiv preprint,arxiv-search,pretraining-paper,trusted
113,Cross-modal Map Learning for Vision and Language Navigation,2022-03-10,arXiv preprint,arxiv-search,map-memory-paper,trusted
114,Dialogue-enabled agents for embodied instruction following,2022-02-27,RA-L 2022,awesome-repo,dialog-paper,trusted secondary
115,One Step at a Time: Long-Horizon Vision-and-Language Navigation with Milestones,2022-02-14,arXiv 2022,awesome-repo,long-horizon-paper,trusted
116,A Dataset for Interactive Vision-Language Navigation with Unknown Command Feasibility,2022-02-04,arXiv preprint,arxiv-search,benchmark-paper,trusted secondary
117,Contrastive Instruction-Trajectory Learning for Vision-Language Navigation,2021-12-08,arXiv preprint,arxiv-search,pretraining-paper,trusted
118,Curriculum Learning for Vision-and-Language Navigation,2021-11-14,NeurIPS 2021,awesome-repo,curriculum-paper,trusted
119,Landmark-RxR: Solving Vision-and-Language Navigation with Fine-Grained Alignment Supervision,2021-11-09*,NeurIPS 2021,survey-citation,core-paper,currently using conference/openreview date; arXiv preprint not yet confirmed
120,NDH-Full: Learning and Evaluating Navigational Agents on Full-Length Dialogue,2021-11-01*,EMNLP 2021,awesome-repo,dialog-benchmark-paper,trusted secondary; temporary non-arXiv date
121,SOAT: A Scene- and Object-Aware Transformer for Vision-and-Language Navigation,2021-10-27,CVPR 2021,survey-citation,core-paper,trusted
122,History Aware Multimodal Transformer for Vision-and-Language Navigation,2021-10-25,NeurIPS 2021,awesome-repo,memory-paper,trusted
123,Rethinking the Spatial Route Prior in Vision-and-Language Navigation,2021-10-12,arXiv 2021,arxiv-search,route-prior-paper,trusted
124,Waypoint Models for Instruction-guided Navigation in Continuous Environments,2021-10-05,ICCV 2021,awesome-repo,continuous-env-planning-paper,trusted
125,Language-Aligned Waypoint (LAW) Supervision for Vision-and-Language Navigation in Continuous Environments,2021-09-30,EMNLP 2021,arxiv-search,continuous-vln-paper,trusted
126,Vision-Language Navigation: A Survey and Taxonomy,2021-08-26,arXiv preprint,survey-citation,survey,trusted
127,SASRA: Semantically-aware Spatio-temporal Reasoning Agent for Vision-and-Language Navigation in Continuous Environments,2021-08-26,curated repo / venue pending,awesome-repo,continuous-env-paper,trusted
128,Airbert: In-domain Pretraining for Vision-and-Language Navigation,2021-08-20,ICCV 2021,survey-citation,core-paper,trusted
129,Neighbor-view Enhanced Model for Vision and Language Navigation,2021-07-15,arXiv 2021,awesome-repo,planning-paper,trusted
130,Vision-Language Navigation with Random Environmental Mixup,2021-06-15,ICCV 2021,awesome-repo,data-centric-paper,trusted
131,Look Wide and Interpret Twice: Improving Performance on Interactive Instruction-following Tasks,2021-06-01,arXiv 2021,arxiv-search,interactive-instruction-paper,trusted secondary
132,Episodic Transformer for Vision-and-Language Navigation,2021-05-13,ICCV 2021,survey-citation,core-paper,trusted
133,Hierarchical Cross-Modal Agent for Robotics Vision-and-Language Navigation,2021-04-21,ICRA 2021 [[Project Page](https://zubair-irshad.github.io/projects/robo-vln.html)] [[arXiv](https://arxiv.org/abs/2104.10674)] [[GitHub](https://github.com/GT-RIPL/robo-vln)],arxiv-search,robotics-vln-paper,trusted
134,The Road to Know-Where: An Object-and-Room Informed Sequential BERT for Indoor Vision-Language Navigation,2021-04-09,ICCV 2021,survey-citation,core-paper,trusted
135,Diagnosing Vision-and-Language Navigation: What Really Matters,2021-03-30,arXiv 2021,awesome-repo,analysis-paper,trusted
136,Scene-Intuitive Agent for Remote Embodied Visual Grounding,2021-03-24,CVPR 2021,arxiv-search,remote-grounding-paper,trusted
137,Structured Scene Memory for Vision-Language Navigation,2021-03-05,arXiv preprint,arxiv-search,memory-paper,trusted
138,On the Evaluation of Vision-and-Language Navigation Instructions,2021-01-26,EACL 2021,arxiv-search,evaluation-paper,trusted
139,Self-Motivated Communication Agent for Real-World Vision-Dialog Navigation,2021-01-01,ICCV 2021,targeted-audit,dialog-paper,trusted
140,Topological Planning with Transformers for Vision-and-Language Navigation,2020-12-09,CVPR 2021,survey-citation,core-paper,trusted
141,A Recurrent Vision-and-Language BERT for Navigation,2020-11-26,CVPR 2021,survey-citation,core-paper,trusted
142,Language-guided Navigation via Cross-Modal Grounding and Alternate Adversarial Learning,2020-11-22,IEEE CAS 2021,awesome-repo,representation-paper,trusted
143,Sim-to-Real Transfer for Vision-and-Language Navigation,2020-11-07,arXiv preprint,arxiv-search,real-world-vln-paper,trusted
144,The RobotSlang Benchmark: Dialog-guided Robot Localization and Navigation,2020-10-23,CoRL 2020,awesome-repo,dialog-benchmark-paper,trusted
145,Language and Visual Entity Relationship Graph for Agent Navigation,2020-10-19,NeurIPS 2020,awesome-repo,graph-paper,trusted
146,Multilingual Vision-and-Language Navigation with Dense Spatiotemporal Grounding,2020-10-15,EMNLP 2020,awesome-repo,multilingual-paper,trusted
147,Learning to Stop: A Simple yet Effective Approach to Urban Vision-Language Navigation,2020-09-28,EMNLP Findings 2020,awesome-repo,urban-planning-paper,trusted
148,Object-and-Action Aware Model for Visual Language Navigation,2020-07-29,ECCV 2020,awesome-repo,representation-paper,trusted
149,Active Visual Information Gathering for Vision-Language Navigation,2020-07-15,ECCV 2020,survey-citation,core-paper,trusted
150,Evolving Graphical Planner: Contextual Global Planning for Vision-and-Language Navigation,2020-07-11,NeurIPS 2020,awesome-repo,planning-paper,trusted
151,Multimodal Text Style Transfer for Outdoor Vision-and-Language Navigation,2020-07-01,EACL 2021,awesome-repo,urban-language-paper,trusted
152,Counterfactual Vision-and-Language Navigation: Unravelling the Unseen,2020-06-15,NeurIPS 2020,targeted-audit,generalization-paper,trusted
153,BabyWalk: Going Farther in Vision-and-Language Navigation by Taking Baby Steps,2020-05-10,ACL 2020,survey-citation,core-paper,trusted
154,Diagnosing the Environment Bias in Vision-and-Language Navigation,2020-05-06,IJCAI 2020,arxiv-search,analysis-paper,trusted
155,RMM: A Recursive Mental Model for Dialog Navigation,2020-05-02,EMNLP Findings 2020,awesome-repo,dialog-reasoning-paper,trusted
156,Improving Vision-and-Language Navigation with Image-Text Pairs from the Web,2020-04-30,ECCV 2020,survey-citation,core-paper,trusted
157,Sub-Instruction Aware Vision-and-Language Navigation,2020-04-06,EMNLP 2020,arxiv-search,instruction-granularity-paper,trusted
158,Beyond the Nav-Graph: Vision-and-Language Navigation in Continuous Environments,2020-04-06,ECCV 2020,survey-citation,core-paper,trusted
159,Vision-Dialog Navigation by Exploring Cross-modal Memory,2020-03-15,CVPR 2020,awesome-repo,dialog-paper,trusted
160,Multi-View Learning for Vision-and-Language Navigation,2020-03-02,arXiv 2020,arxiv-search,representation-paper,trusted
161,Environment-agnostic Multitask Learning for Natural Language Grounded Navigation,2020-03-01,ECCV 2020,awesome-repo,multitask-paper,trusted
162,Towards Learning a Generic Agent for Vision-and-Language Navigation via Pre-training,2020-02-25,CVPR 2020,survey-citation,core-paper,trusted
163,Vision-Language Navigation Policy Learning and Adaptation,2020-02-13,IEEE TPAMI 2021,targeted-audit,journal-vln-paper,trusted
164,ReTouchdown: Adding Touchdown to StreetLearn as a Shareable Resource for Language Grounding Tasks in Street View,2020-01-10,Spatial Language Understanding Workshop 2020,awesome-repo,urban-benchmark-paper,trusted secondary
165,Just Ask: An Interactive Learning Framework for Vision and Language Navigation,2019-12-02,AAAI 2020,survey-citation,core-paper,trusted
166,"Perceive, transform, and act: Multi-modal attention networks for vision-and-language navigation",2019-11-27,arXiv 2019,awesome-repo,representation-paper,trusted
167,Vision-Language Navigation with Self-Supervised Auxiliary Reasoning Tasks,2019-11-18,CVPR 2020,awesome-repo,auxiliary-task-paper,trusted
168,Counterfactual Vision-and-Language Navigation via Adversarial Path Sampling,2019-11-17,CVPR 2020,awesome-repo,data-centric-paper,trusted
169,Cross-Lingual Vision-Language Navigation,2019-10-24,arXiv 2019,awesome-repo,multilingual-paper,trusted
170,Learning to Map Natural Language Instructions to Physical Quadcopter Control using Simulated Flight,2019-10-21,PMLR 2020,arxiv-search,aerial-instruction-paper,trusted secondary
171,Talk2Nav: Long-Range Vision-and-Language Navigation with Dual Attention and Spatial Memory,2019-10-04,curated repo / venue pending,awesome-repo,urban-navigation-paper,trusted
172,RUN through the Streets: A New Dataset and Baseline Models for Realistic Urban Navigation,2019-09-19,EMNLP 2019,arxiv-search,urban-benchmark-paper,trusted secondary
173,Robust Navigation with Language Pretraining and Stochastic Sampling,2019-09-05,EMNLP 2019,survey-citation,core-paper,trusted
174,"Help, Anna! Visual Navigation with Natural Multimodal Assistance via Retrospective Curiosity-Encouraging Imitation Learning",2019-09-04,EMNLP 2019,awesome-repo,asking-for-help-paper,trusted
175,Transferable Representation Learning in Vision-and-Language Navigation,2019-08-09,ICCV 2019,awesome-repo,representation-paper,trusted
176,General Evaluation for Instruction Conditioned Navigation using Dynamic Time Warping,2019-07-11,arXiv 2019,awesome-repo,evaluation-paper,trusted
177,Vision-and-Dialog Navigation,2019-07-10,CoRL 2019,survey-citation,core-paper,trusted
178,Embodied Vision-and-Language Navigation with Dynamic Convolutional Filters,2019-07-05,BMVC 2019,awesome-repo,representation-paper,trusted
179,Chasing Ghosts: Instruction Following as Bayesian State Tracking,2019-07-03,NeurIPS 2019,awesome-repo,graph-state-paper,trusted
180,Are You Looking? Grounding to Multiple Modalities in Vision-and-Language Navigation,2019-06-02,ACL 2019,survey-citation,analysis-paper,trusted
181,Multi-modal Discriminative Model for Vision-and-Language Navigation,2019-05-31,SpLU&RoboNLP Workshop 2019,awesome-repo,representation-paper,trusted
182,Stay on the Path: Instruction Fidelity in Vision-and-Language Navigation,2019-05-29,ACL 2019,awesome-repo,evaluation-paper,trusted
183,REVERIE: Remote Embodied Visual Referring Expression in Real Indoor Environments,2019-04-23,arXiv preprint,survey-citation,core-paper,trusted
184,Learning to Navigate Unseen Environments: Back Translation with Environmental Dropout,2019-04-08,NAACL 2019,survey-citation,core-paper,trusted
185,Tactical Rewind: Self-Correction via Backtracking in Vision-and-Language Navigation,2019-03-06,CVPR 2019,survey-citation,core-paper,trusted
186,The Streetlearn Environment and Dataset,2019-03-04,arXiv 2019,awesome-repo,dataset-paper,trusted secondary
187,Learning To Follow Directions in Street View,2019-03-01,arXiv 2019,awesome-repo,urban-navigation-paper,trusted secondary
188,From language to goals: Inverse reinforcement learning for vision-based instruction following,2019-02-20,arXiv 2019,awesome-repo,reinforcement-learning-paper,trusted
189,Self-Monitoring Navigation Agent via Auxiliary Progress Estimation,2019-01-10,ICLR 2019,survey-citation,core-paper,trusted
190,Vision-based Navigation with Language-based Assistance via Imitation Learning with Indirect Intervention,2018-12-10,CVPR 2019,awesome-repo,guidance-paper,trusted
191,Touchdown: Natural Language Navigation and Spatial Reasoning in Visual Street Environments,2018-11-29,CVPR 2019,awesome-repo,urban-benchmark-paper,trusted
192,Reinforced Cross-Modal Matching and Self-Supervised Imitation Learning for Vision-Language Navigation,2018-11-25,CVPR 2019,awesome-repo,reinforcement-learning-paper,trusted
193,Shifting the Baseline: Single Modality Performance on Visual Navigation & QA,2018-11-01,NAACL 2019,awesome-repo,analysis-paper,trusted secondary
194,Mapping Instructions to Actions in 3D Environments with Visual Goal Prediction,2018-09-04,EMNLP 2018,awesome-repo,dataset-task-paper,trusted
195,On Evaluation of Embodied Navigation Agents,2018-07-18,arXiv 2018,awesome-repo,evaluation-paper,trusted
196,Navigating New York City through Grounded Dialogue,2018-07-09,arXiv 2018,awesome-repo,dialog-navigation-paper,trusted secondary
197,Speaker-Follower Models for Vision-and-Language Navigation,2018-06-07,NeurIPS 2018,survey-citation,core-paper,trusted
198,Following High-level Navigation Instructions on a Simulated Quadcopter with Imitation Learning,2018-05-31,RSS 2018,awesome-repo,aerial-precursor-paper,trusted
199,Look Before You Leap: Bridging Model-Free and Model-Based Reinforcement Learning for Planned-Ahead Vision-and-Language Navigation,2018-03-21,ECCV 2018,awesome-repo,reinforcement-learning-paper,trusted
200,Vision-and-Language Navigation: Interpreting visually-grounded navigation instructions in real environments,2017-11-20,CVPR 2018,survey-citation,core-paper,trusted
